Review,Rating
"As an avid movie fan I see plenty of movies, many average, many bad, a few good and once in while great. But I use the word great scarcely. Dune 2 is better than great. Oppenheimer was a great movie but I wouldn't rush back to see it a second time in the near future. Dune 2, I would see it again tomorrow. The story is on par to the Star Wars legacy, the acting, on par with Oppenheimer, the SFX better than the two movies just mentioned combined. When the movie finished (over 2 and half hours) I still wanted more. The emotional ride was like nothing I can remember from ANY movie I can remember. Best movie of the year? I don't think so, best movie of a generation is more akin to what I saw. Wish I could give it 11 stars.",10.0
"I have to start by saying that I absolutely loved the first movie. I wasn't familiar with the story and I went with zero expectations, only to be completely stunned by the masterful artwork that was Dune Part 1.The music, the sound, the visuals, the entire world and its atmosphere, the characters even the plot, I found everything beautifully crafted and a breath of fresh air for the Sci-Fi genre.I am not familiar with the source material so this is considering only the movies and while I had a deep desire to love this second part specially considering the reviews it has been getting and how much I loved the first one, I couldn't help but feel a slight disappointment...
Let's start with the positives - the cinematography is consistently out of this world, it is a visual wonder, a mix of practical effects with CGI that blends in perfectly. The intense and dramatic sound effects associated with a thrilling and daunting soundtrack delivers! And of course the acting is consistently good, this time around it was great to see Javier Barden's character being developed and bringing some great topics to the table.What makes me wonder the most to be honest is how different both the first movie and the second are being reviewed by the general public..
For once its running time is considerable (almost 3 hours) and somehow it feels strangely rushed... It's a bit odd to explain but in other words, we get so many scenes that feel that don't contribute at all to the narrative and out of the blue we transition to a scene where the main character changes the demeanor entirely without much build up leading to it..
The movie spends so much time trying to connect Paul to the Fremens, yet it fails to explore his own inner motivations, the moment we see his character changing, it gives you the feeling that you missed something.Paul's betrayal to Chani also feels a bit irrelevant since the chemistry built on the first movie seems to just dissipate...
The relationship with his mother is also very odd and inconsistent, her character becomes dark fairly early in the movie, in one moment she is her beloved mother and without much shared screen time he then seems to almost despise her by the end of the film without the audience having a deeper understanding of their relationship dynamic.The newly introduced villains are one dimensional and having Austin Butler's character seemed pointless... there was no goal for him, he gets killed off almost instantly alongside with the Baron who got so much build from the first movie...
An A list of actors like Florence Pugh, Christopher Walken and Léa Seydoux, all of them could've been amazing characters but get zero chance of showing that.An entire plot with Paul's sister goes out the drain as well... messing with time started to become promising but it leads nowhere... I mean I could go on, in short the movie had many plot gaps, didn't develop the characters properly, poorly introduced the newcomers and relied heavily on its outstanding cinematography and sound.It's a shame because I can't tell you how excited I was to write a praising review, but this was my honest opinion which apparently doesn't seem to align with the majority.A lot of scenes drag without much substance to it, the highlight of the film was Javier Barden's character and the messages behind the dangerous of the concept of a Messia.I am of course hopeful for the third movie, maybe with my expectations now lowered it becomes a great experience all over again.",7.0
"I gave this mess of a film 4 stars simply on the weight of the special effects and cinematography. The worm riding was the best part of the film. The interaction between the main characters are shallow and most often miss the main themes of the source material.And why did tge director change one of the main plot points? Paul's sister Alia is born early with all the Bene Gesserit powers. She kills Vladimir Harkonin, not Paul. This completely changes the story line, and not in a good way.I thought the first movie was a snooze fest, but kept telling myself ""just wait until Part 2 when all the action happens. "" Was I wrong.I will never trust Denis Villeneuve again.",4.0
"We have waited many, many years for a movie of this caliber. I'm 59 years old, a female, grandmother and retired - this was THE. BEST. MOVIE I have ever seen. I don't tend to like si-fi movies so I went along with my husband as a favor . The length of this movie wasn't even noticed by us; it wasn't long enough to be honest. We wanted MORE. It ended and we weren't done yet. We know how long it takes for sequels to come along - so who knows if I'll still be on the planet to see it. I hope I am. And I hope they can do it justice. The last time I remember a movie being THIS good: I was in high school in the 80's. DO NOT MISS THE OPPORTUNITY TO SEE THIS MOVIE IN THE THEATRE. CRAZY GOOD.",10.0
"""Dune"" has been successfully put to the big screen. Not only is this a good adaptation, it passes with flying colors.The character arc of Paul Atreides is fascinating and complex. I love how they delved into his psyche and motivations so prevalently in this movie. He is reluctant to take up the Messianic mantle because he knows it's a lie. But things go according to his vision and he becomes a morally complex character. Religious fantacism takes hold of the fremen.It is up for interpretation what kind of character Paul becomes. Is he a tyrant? Was it the only path? What does religion have to do with it? Paul takes hold of the Bene Gesserit lie by exploiting faith.This leads to other questions. Can one truly trust the arm of flesh? The frailty of man? Leaders have come and gone throughout history bringing different ideals.One's own morality comes into play. Agency is vital to the human experience. Man will always falter. This leads to questions of a higher power and His role. Is there a God above? What are the implications of that?We don't get stories like this in Hollywood anymore. There is no happy ending in Dune, and one can only ponder the moral complexities of it. The book and movie have made me contemplate many things and I deeply appreciate stories like that.Others have already applauded the effects, acting and script, so I won't go into that too much here. What I will say is it was the best looking movie I have ever seen. Everything looked lived in. The fight scenes were choreographed masterfully. Each actor gave outstanding performances. Hans Zimmer gives a mesmerizing soundtrack.Frank Herbert's vision was honored masterfully. Well done Denis Villeneuve.",10.0
"Saw an early screening of this film at the Tilton Square Theatre in New Jersey, and I was completely blown away. From the opening scene all the way until the credits I never felt bored, which is impressive for a 2 hour and 45 minute film.I don't want to write too much here, I prefer anyone reading this with the slightest bit of interest in the film to go see it immediately. It doesn't release worldwide until March 1st, so grab tickets and I would highly recommended you see it in IMAX if possible. Almost the entirety of the movie is filmed with IMAX cameras.This movie is an absolute visual spectacle probably going to win a couple Oscar's for sound editing, picture, etc., and the fight scenes are choreographed so fantastically. Like I stated in the beginning, see this film!",9.0
"I just watched this in IMAX and it was one of the greatest movie experiences I have ever had. Everything from part one was done even better in part two and the story was much more interesting. The outfits were so unique and really well made. Whenever I thought it was starting to move a little slow something insane happens and I'm instantly drawn back into the world of dune that Denis has remade and expanded on so much. All the shots of the different worlds were just breathtaking. The last hour of the movie is by far some of the best made cinema in awhile and the action was so good. The last fight was awesome as well. ""You fought well Atreides.""",9.0
"This movie more than accomplished all of the promises it set out, absolutely mesmerizing experience. I loved the first movie and thought it would be an impossibly difficult task to surpass it, but Denis Villeneuve has once again proven himself as the most promising sci-fi director of this age. I find that this installment of the series picks up its pace quickly and reaches its peak near the end of the film. Contrary to the first film where most of the action was packed into the middle. Dune: Part Two displays a more relaxed tone from the start to the middle of the movie, however the mood shifts to match the occasion and finally leaves you somewhat distraught as the consequences of the character's choices surely lead to a path they cannot return from. The cinematography by Greig Fraser is once again fantastic the mixture of his naturalistic style and the sci-fi genre leads to a grounded universe while still retaining the wonderous and whimsical aspects of science fiction, each decision on how planets and characters are portrayed demonstrates the care and attention paid to how audiences interpret them, you understand the Harkonnen, the Emperor, the Fremen, the Bene Gesserit and the remnants of house Atreides in one look at the way they are shown. The score is once again sublime, Hans Zimmer once again proves himself as the definitive motion picture composer, his ability to craft larger-than-life scores with his ability to understand the differences between each character and culture present in this film is nothing short of perfection, recurring themes and motifs are present throughout the movie and paired with the visuals and the performances, which are also incredible, form a modern day masterpiece crafted meticulously by masters of their respective fields. Rebecca Ferguson, Timothée Chalamet, Javier Bardem, Austin Butler and Zendaya give wonderful performances, with the first three being standouts. Overall this movie deserves the universal praise it has received and might just interest those who didn't even enjoy the first installment of the series.",10.0
"In the quiet embrace of ink and page, a story unfolded, timeless and sage, through the lens of a filmmaker's artistry, its essence soared, a masterpiece for all to see, i think Denis Villeneuve has just made the most visually stunning epic story of a movie that's ever been made, the most powerful story of a movie ever been told in the last 20 years, there has been no movies with this scale resulting in not just a piece of a film no more but a piece of art, it's what Infinity War and Endgame looks like if it's not a superhero for kids entertainment type movie, the more adult version of Star Wars, Dune has just become the most intriguing, fascinating, and admirable movie world that we should always get excited about right now, Marvel universe are over, Star Wars universe are over, let the maestro Denis Villeneuve handle all of this if they are gonna make another one, i'm glad to be able to say that i think Dune: Part Two was a Masterpiece, i haven't felt this awe feeling and just pure fascinated at a movie like this in quite a long time, i have nothing to complain about the story and the visual of the film because i felt most of it if not all of it was just perfect, i cannot describe how incredible the visual of the film was, how mesmerizing the sound and the score of the film was, and how amazing all of the performance was, props to Timothée Chalamet, i'm not surprise if he gets the nomination for best actor for the Oscars next year, he totally deserve it and absolutely needs to be considered, each dialogue was great, each scene from one to another felt important and worth it, action scenes are some of the best i've seen in a while, and the perfect stabilisation between the action and the narration scene are very well done, 2 hours and 47 minutes of pure grand epic film fills with the most stunning visual that you could possibly imagine, and an intriguing story telling that kept you going for the whole duration, it's that good, it's that epic, it's that great, Mastering others is strength, mastering yourself is true power, overall i could see both Denis Villeneuve Dune finally get the influential recognition 10 years from now, and specifically Part Two being also one of the greatest sequel ever made, Dune: Part Two was easily the best films of the year so far, it is more than what he supposed to deliver.",10.0
"Dune: Part Two is simply Denis Villeneuve's Magnum Opus in his filmography. I've loved this director's work since ""Blade Runner 2049"", and ""Arrival"". He did an excellent job placing his vision on the first Dune, but here, Villeneuve cranks his direction times 10!The structure, set-up, visuals, sound and story are crafted in ways that are hard for me to put in words, due to how everything came together so miraculously. The acting is also top-notch! Timothée Chalamet in particular is unbelievably phenomenal, and Zendaya does a great job as well. Austin Butler, Rebecca Ferguson and Florence Pugh are also excellent! Denis never lets you out of this experience! The pure weight of the film is presented through astounding narratives, rich cinematography, an epic story and mesmerizing action sequences that will make your seat rumble if you watch this on the big screen!There are quite a handful of thrilling moments that I still have no idea how they came out THIS good in the end! Denis Villeneuve is truly a sorcerer in the Sci-Fi genre! Every frame and detail in his films are captivating as hell, and it's no different here in the slightest!Dune: Part Two made me leave the theater feeling inspired! There's so much to take away from this masterpiece! Definitely my #1 favorite movie of this year as of now! Bring on Dune: Part Three as fast as possible!",10.0
"This movie is a visual masterpiece that will be studied for decades. The colors are vivid, the lighting is gorgeous and the cgi is mostly indistinguishable from reality.That said, despite being almost 3 hours long, the story felt hugely condensed. It felt like each scene gives you the bare minimum to understand what's happening, but elaborates on nothing. It felt like it wants you to immerse yourself in a unique and complex world, but gives every setting only a few minutes of time before hopping straight to the next. For example, the training of Paul. We never see him learn how to ride the sandworm, so when he succeeds, it doesn't feel as triumphant as it would have otherwise. The Harkonnens are also much less intimidating than they were before. Most of their screentime is comprised of them trying and failing to farm spice on Arrakis, until they are defeated by Paul and the Fremen at the end without much difficulty. They should have put up more of a fight. Lastly, I know from sources that an ecological message the was very important in the book was emmited completely from the film. The Fremen speak of bringing green back to Arrakis, but that's all we ever see them do.Part of it may be a limitation of the format. If one must adapt a book full of complex lore, than either a trilogy or even a serialization may be the better option as you get more time to explain everything. I know that a third film is coming but it's not based on the same book anymore, and while I haven't read any of the books, I don't believe I should. I believe that film should stand on its own two feet, and this one does. Its legs are long and slender, with just the bare minimum of muscle required to stand, but it stands nonethelss :)",8.0
"Dune Part 2 is an epic movie; slickly made, and visually stunning.But I had to explain quite a bit to the friends around me who had not read the book, especially the water of life scene and the final battle.The movie had almost a 3 hour run time, but it felt overlong because Villenue focuses too much on spectacle on very little on substance.It is a beautiful movie, but it feels like it has no soul. The emotional connection between Paul and Chani, so vital to the story, is completely lacking and unbelievable. The two main characters are good looking enough but has absolutely zero chemistry on screen.I am certain Zendaya is a fine actress in some things, but she has basically 2 facial expressions here, and the one she uses the most is a scowl directed at Paul. I found her to be the worst part of this movie.The final fight scene is short, choppy, and a mess. It felt anticlimactic and unfulfilling
The Harkonens are basically reduced to bumbling villainy almost cartoonish. The ending was super abrupt, and was so different from the book that it left me wondering what the filmmakers would do if they want to do a sequel.I want to reiterate that this isn't a bad movie. Villenue is great at creating a world that looks living and breathing, but he can't give life to individual characters.It is like he can't see the trees for the forest.",6.0
